Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1975-01-31,35.352517519,34.429922384,28.986497616,36.915892435,15.658372777,19.733453591,24.540069397,27.149328163,30.966324141,30.903719561,26.672232938,31.816660163,25.464750917,32.2283633,32.904616292,33.458753198,31.469428305,33.055086762,28.815847949,26.962914817,15.871496985,24.439339706,25.466958006,42.335676892,30.560257785,27.054602103,31.3570941,27.53579875,22.124237526,23.00555571,27.841934306,23.883143927,28.211755193,39.655536115,30.261239115,37.827106082,19.706402557,28.729691225,20.075082482,30.59197556,37.819132727,32.220320999,32.692421389,24.623431322,26.51498189,27.946567343,17.483487701,41.747655933,28.20100959,31.841465762
1975-02-28,35.560502199,34.94048252,29.434128703,37.258437808,15.709275755,19.936214177,25.072000642,27.175600966,32.18678147,30.60586144,26.618180229,31.826293387,25.719764385,32.767804121,33.449835966,33.831628632,31.49867747,33.661039356,28.558665246,26.865492692,15.77806768,24.788700106,25.679950518,42.015902211,31.914048835,27.365584922,31.318463826,28.017893752,22.469476416,22.459005962,28.257510109,23.382216239,28.4951491,39.56314393,30.330551736,37.801523564,20.189056152,29.064575211,20.488851375,31.006420412,37.408511266,32.262635432,33.014756043,24.959303091,26.76676209,28.240677145,17.556608468,42.772816245,28.579312215,32.298194688
1975-03-31,35.808614823,35.463027531,29.855056515,37.553594451,15.896469308,20.14245926,25.471942237,27.229797132,33.997308927,30.474467007,26.61211319,31.827342629,26.018608727,33.283001733,33.949027901,34.240413687,31.520477916,34.264886372,28.33875846,26.819739051,15.685551389,25.081023508,25.863472927,41.775996478,33.285136888,27.696330201,31.276552908,28.486496807,22.784263798,22.137358208,28.648930017,23.15585146,28.742044756,39.526373343,30.504511947,37.811283127,20.649984939,29.319260464,20.909800087,31.327132421,36.990498939,32.351377947,33.600858793,25.261821375,27.009803161,28.452989213,17.666279775,43.841779405,28.954690538,32.782285356
1975-04-30,36.118784989,36.008230253,30.178300004,37.778832865,16.210823268,20.341329029,25.69252514,27.354692374,36.217076306,30.533289016,26.678180513,31.826069139,26.323908135,33.665179318,34.353731174,34.654913339,31.587143862,34.717360124,28.185071701,26.869367609,15.614829964,25.279522658,26.040030589,41.667488632,34.398237265,28.036333358,31.234671494,28.925693359,23.041431949,22.114161738,28.961684489,23.159486702,28.960075095,39.616114362,30.746555446,37.817006928,21.071001184,29.512309893,21.336145963,31.521601098,36.575236518,32.482508321,34.450742122,25.502345562,27.230757707,28.603620577,17.79242352,44.946867416,29.292734516,33.285388464
1975-05-31,36.418629533,36.603608349,30.345381886,37.974778616,16.47510657,20.507966176,25.752461083,27.578662792,36.491549572,30.65424781,26.809237127,31.846145468,26.499313984,33.840743983,34.61680309,35.04223707,31.791809662,34.936642394,28.116623384,27.002449411,15.586959105,25.356060577,26.258401776,41.69653745,34.32814169,28.350951825,31.189374111,29.31888054,23.217079464,22.302368524,29.19130534,23.297919066,29.145394434,39.846087761,31.010188215,37.806273545,21.474493471,29.765684375,21.750794627,31.660192102,36.199204379,32.629936889,34.707483161,25.663356551,27.425244246,28.723425269,17.899185699,46.062927539,29.568402616,33.774386957
1975-06-30,36.590431253,37.240908958,30.2994183,38.173700792,16.593519214,20.650163729,25.707092137,27.852720735,34.875200004,30.695044606,26.967465069,31.882228451,26.591827271,33.815796162,34.768939693,35.331901252,32.169095535,35.028348523,28.147906703,27.174299277,15.612288376,25.310958599,26.521200575,41.825027822,33.230173155,28.617877824,31.136310355,29.652435175,23.297428299,22.575884721,29.387904801,23.549175835,29.280339276,40.201835142,31.276365148,37.809811408,21.865460836,30.068065357,22.107466897,31.838050611,35.919314827,32.783403561,34.285325303,25.714293149,27.601937284,28.835049163,18.007034524,47.130661815,29.774233662,34.232998432
1975-07-31,36.565213059,37.878195553,30.018415832,38.344980391,16.71687722,20.753191738,25.646638586,28.102661844,33.639175856,30.588864915,27.106252595,31.927957598,26.724182381,33.636718748,34.878906539,35.510282907,32.616682389,35.163630531,28.280448318,27.373712535,15.68472958,25.261526375,26.834740461,41.90400528,32.234584459,28.837774158,31.079654499,29.937183154,23.287146119,22.864874216,29.569243174,23.804479132,29.392082027,40.684368854,31.484785064,37.864139418,22.203190136,30.264639831,22.372447158,32.080260068,35.744963531,32.936752528,33.998231106,25.653244496,27.75358537,29.007386171,18.13544743,48.067944774,29.925117054,34.660431262
1975-08-31,36.374700057,38.458854328,29.576758357,38.445323723,16.936192263,20.756216817,25.627825593,28.317455805,33.04889014,30.338242299,27.194671752,31.989884947,26.854178484,33.36198167,34.951335318,35.666232278,32.990445294,35.38333101,28.494429155,27.577640799,15.766453584,25.342354795,27.163983319,41.842276987,31.67227517,29.012117182,31.062990797,30.21273425,23.227568517,23.059420155,29.695611764,23.913488463,29.552336667,41.291008827,31.568933794,37.997846021,22.458271509,30.172807886,22.558523039,32.339152327,35.625881569,33.102663161,33.966027848,25.553272179,27.861135889,29.20506416,18.227543853,48.81381937,30.046383365,35.044777135
1975-09-30,36.138193997,38.964820833,29.115251959,38.445300126,17.177918604,20.684205882,25.673499687,28.495655343,32.913034871,29.988273101,27.24517339,32.087384328,26.969063462,33.108057994,34.970555987,35.774160768,33.240878007,35.604077128,28.738472766,27.72014444,15.835890767,25.403554822,27.411040428,41.728140362,31.390622169,29.150253406,31.146233717,30.503058994,23.190465814,23.09620877,29.738975051,23.918677656,29.732776006,41.994153117,31.605716841,38.225322621,22.633886905,29.717261386,22.682102131,32.532045879,35.532350276,33.332865747,34.048300479,25.510662212,27.930536895,29.285601783,18.251837286,49.311307865,30.208194176,35.374917262
1975-10-31,36.012988903,39.425011696,28.863825726,38.407373722,17.400919494,20.650070765,25.787900576,28.611093572,33.052715128,29.70159906,27.276204868,32.300987702,27.118793976,33.084317102,35.011009235,35.817704941,33.377936466,35.790935494,28.924397575,27.851234232,15.874865061,25.293297418,27.496646652,41.683941761,31.193958859,29.27540403,31.353937442,30.80084325,23.219547226,23.021031053,29.73457951,23.935312178,29.883417918,42.71134005,31.71965148,38.578112596,22.743043027,29.162936583,22.739115414,32.586308826,35.47270666,33.682918983,34.168293342,25.64325866,27.97819594,29.245936902,18.282632719,49.529152623,30.412894205,35.627035392
1975-11-30,36.092945008,39.835432473,28.989824312,38.458654617,17.551846705,20.747929925,25.985084419,28.676399629,33.298855661,29.611946252,27.27826103,32.680747477,27.343588955,33.355690527,35.12175495,35.914891992,33.391673172,35.996795827,28.980860299,28.095905425,15.888913175,25.16412609,27.441018829,41.796227976,31.135774314,29.416534294,31.65849545,31.102778857,23.323231561,22.903703311,29.732554587,23.960263067,30.017864796,43.362566478,31.914556333,39.031792005,22.809331637,29.302669265,22.742607169,32.503946031,35.465871005,34.145195326,34.394583774,25.985028907,28.005696838,29.149690307,18.41411371,49.537916826,30.573573793,35.801522869
1975-12-31,36.406437382,40.176139899,29.35934619,38.629360561,17.676135281,20.951692818,26.210244255,28.719078558,33.434957605,29.666619882,27.249624119,33.166520867,27.675410489,33.761208494,35.302589624,36.103180749,33.338039016,36.284375647,28.904790907,28.397940068,15.904185553,25.139610523,27.33058097,42.085536643,31.321255107,29.613495245,32.048060706,31.399325911,23.51283145,22.845799322,29.749930924,23.928052705,30.104486929,43.926547721,32.031498755,39.481844425,22.888208134,30.129156804,22.714404572,32.342570699,35.536000145,34.565649612,34.600385907,26.390382532,28.00807898,29.032116563,18.620577113,49.44986601,30.657687096,35.926172175
1976-01-31,36.929301564,40.449442569,29.733692604,38.878841046,17.854794036,21.1784965,26.390509366,28.735128836,33.412722966,29.756054485,27.222162606,33.640600271,28.026649339,34.145024995,35.62456134,36.335671166,33.299073837,36.614913319,28.74990496,28.641999502,15.913025118,25.174582091,27.231795989,42.445684446,31.780656329,29.880808727,32.539139374,31.672490165,23.785181713,22.909372967,29.801929299,23.7999836,30.082991255,44.409391697,32.058152258,39.839734817,23.002192882,30.82770992,22.693116229,32.12618333,35.697253953,34.773455185,34.727267631,26.767001965,27.985409643,28.948956202,18.834161263,49.346751035,30.691738033,36.033906497
1976-02-29,37.538576267,40.678292547,30.012107186,39.214200401,18.065241232,21.390219605,26.507278848,28.729376937,33.461199423,29.786180327,27.213358712,34.002009522,28.300503282,34.453508909,36.087024012,36.576119269,33.274080062,36.946359313,28.590397609,28.811299615,15.939892292,25.235883606,27.204360396,42.708230599,32.599342935,30.20320628,33.082376045,31.891054739,24.087291844,23.051419724,29.906181602,23.612761288,29.950976764,44.795363092,32.159016501,40.147222771,23.151510432,31.205886699,22.743513757,31.891397427,35.95143947,34.767753579,35.02548369,27.130073757,27.94949996,29.00554486,19.057406704,49.306107894,30.700417166,36.169532723
1976-03-31,38.078041229,40.890297193,30.166713576,39.639988264,18.330742373,21.596328192,26.57246172,28.734428621,34.034283357,29.764647402,27.198697958,34.212319778,28.542947593,34.685493679,36.622483834,36.834616205,33.284508175,37.300831343,28.468437787,28.950767084,16.005205103,25.387542359,27.272373719,42.747897067,33.81740987,30.568055569,33.588475428,32.02431368,24.3443386,23.230115436,30.052935547,23.43999175,29.851688356,45.084236985,32.417850326,40.450119638,23.378146779,31.374917082,22.892414764,31.734768742,36.272942053,34.703217563,35.749672253,27.45945855,27.931093744,29.203776908,19.281467687,49.349610587,30.739099787,36.361460767
1976-04-30,38.45393322,41.098638026,30.207281431,40.10950015,18.62681683,21.778174629,26.622203786,28.797401491,35.267574563,29.819937818,27.170117054,34.306418932,28.838655888,34.901552284,37.17992452,37.119695423,33.384559735,37.696206741,28.378050025,29.096688496,16.068068942,25.585044956,27.401438592,42.55185596,35.130509333,30.928025875,34.024336173,32.083771183,24.52786822,23.46398376,30.229822056,23.344025314,29.890560691,45.332111916,32.811423885,40.722245962,23.676398969,31.452291476,23.118833543,31.777713085,36.611371176,34.741038318,36.782138952,27.745495942,27.972741337,29.441162563,19.490031138,49.410070943,30.884554875,36.617692353
